timestamp,value,measurement_type,axis,axis_label
2024-06-04 16:38:31+00:00,0.10638438165187836,acceleration,x,axial
2024-06-04 16:38:31+00:00,0.128911092877388,acceleration,y,horizontal
2024-06-04 16:38:31+00:00,0.11260296404361725,acceleration,z,vertical
2024-06-04 16:48:31+00:00,0.1080009788274765,acceleration,x,axial
2024-06-04 16:48:31+00:00,0.12438658624887466,acceleration,y,horizontal
2024-06-04 16:48:31+00:00,0.11834783107042313,acceleration,z,vertical
2024-06-04 16:58:31+00:00,0.14391162991523743,acceleration,x,axial
2024-06-04 16:58:31+00:00,0.1367277354001999,acceleration,y,horizontal
2024-06-04 16:58:31+00:00,0.1520056575536728,acceleration,z,vertical
2024-06-04 17:08:31+00:00,0.1884264200925827,acceleration,x,axial
2024-06-04 17:08:31+00:00,0.11439666897058487,acceleration,y,horizontal
2024-06-04 17:08:31+00:00,0.18278314173221588,acceleration,z,vertical
2024-06-04 17:18:31+00:00,0.12344752252101898,acceleration,x,axial
2024-06-04 17:18:31+00:00,0.11800162494182587,acceleration,y,horizontal
2024-06-04 17:18:31+00:00,0.13129475712776184,acceleration,z,vertical
2024-06-04 17:28:31+00:00,0.10807875543832779,acceleration,x,axial
2024-06-04 17:28:31+00:00,0.13003326952457428,acceleration,y,horizontal
2024-06-04 17:28:31+00:00,0.10898201167583466,acceleration,z,vertical
2024-06-04 17:38:31+00:00,0.10576531291007996,acceleration,x,axial
2024-06-04 17:38:31+00:00,0.12989337742328644,acceleration,y,horizontal
2024-06-04 17:38:31+00:00,0.10781968384981155,acceleration,z,vertical
